episode,timestep,reward
95,2000,20.4105
191,4000,21.4375
269,6000,25.5641
354,8000,23.3294
396,10000,47.5714
445,12000,40.6735
470,14000,79.2
496,16000,78.5
512,18000,119.6875
530,20000,110.6111
542,22000,164.3333
558,24000,132.0
566,26000,241.25
575,28000,212.1111
584,30000,218.4444
593,32000,217.1111
601,34000,268.375
608,36000,273.1429
613,38000,374.6
619,40000,365.1667
623,42000,439.25
629,44000,343.3333
634,46000,428.8
638,48000,484.75
643,50000,415.0
648,52000,361.2
653,54000,463.4
657,56000,493.0
661,58000,481.5
666,60000,399.0
670,62000,499.5
